player_id,player_name,Cluster,Player_Label,Player_Score,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AVG_MIN
1629652,Luguentz Dort,3,Benchwarmer,-0.30836570088816406,79,79,2246.0,4.6,10.5,0.438,2.5,6.3,0.394,2.1,2.5,0.826,1.2,3.4,4.6,1.8,1.2,0.8,1.2,3.7,13.8,28.430379746835442
1630208,Nick Richards,3,Benchwarmer,-0.3119956718898579,67,51,1759.0,5.3,7.7,0.691,0.0,0.0,0.0,2.7,3.7,0.737,3.5,7.5,11.0,1.1,0.5,1.5,1.5,3.6,13.3,26.253731343283583
1641764,Brandin Podziemski,3,Benchwarmer,-0.32145420239217126,74,28,1968.0,5.0,10.9,0.454,1.6,4.3,0.385,0.9,1.4,0.633,2.2,5.7,7.8,5.0,1.1,0.3,1.6,2.2,12.5,26.594594594594593
1630173,Precious Achiuwa,3,Benchwarmer,-0.33928357940391224,74,18,1624.0,5.2,10.4,0.501,0.6,2.2,0.268,1.5,2.5,0.616,4.2,6.6,10.8,2.2,1.0,1.5,1.8,3.2,12.5,21.945945945945947
1627736,Malik Beasley,3,Benchwarmer,-0.34894609403366694,79,77,2337.0,4.9,11.1,0.443,3.5,8.3,0.413,0.4,0.5,0.714,0.6,3.8,4.5,1.7,0.9,0.1,0.8,2.4,13.7,29.582278481012658
1627777,Georges Niang,3,Benchwarmer,-0.3616027632609408,82,10,1831.0,5.6,12.4,0.449,2.9,7.8,0.376,1.0,1.2,0.85,0.4,5.0,5.5,1.9,0.6,0.4,1.4,3.8,15.1,22.329268292682926
1631170,Jaime Jaquez Jr.,3,Benchwarmer,-0.3650891830089118,75,20,2113.0,5.8,11.9,0.489,1.1,3.4,0.322,2.4,3.0,0.811,1.4,3.5,4.9,3.3,1.3,0.3,1.9,2.8,15.1,28.173333333333332
1627884,Derrick Jones Jr.,3,Benchwarmer,-0.3679285721505633,76,66,1783.0,4.8,10.0,0.483,1.7,4.8,0.343,2.0,2.7,0.713,1.7,3.4,5.0,1.5,1.1,1.0,1.3,2.4,13.3,23.460526315789473
203484,Kentavious Caldwell-Pope,3,Benchwarmer,-0.3746568098864552,76,76,2402.0,4.0,8.8,0.46,1.9,4.6,0.406,1.5,1.7,0.894,0.5,2.3,2.7,2.7,1.5,0.6,1.1,2.3,11.5,31.605263157894736
203915,Spencer Dinwiddie,3,Benchwarmer,-0.38240195344978883,76,52,2152.0,4.2,10.7,0.392,2.1,6.2,0.337,2.8,3.5,0.805,0.5,2.9,3.4,6.0,0.9,0.4,1.5,2.3,13.3,28.31578947368421
1631110,Jeremy Sochan,3,Benchwarmer,-0.38261093611898067,74,73,2193.0,5.6,12.7,0.438,1.1,3.7,0.308,1.8,2.4,0.771,2.2,5.6,7.8,4.1,1.0,0.7,2.3,2.8,14.1,29.635135135135137
